"GUID","ZH Artwert (1995): Artwert KT ZH","ZH Artwert (1995): Artwertberechnung Anteil am CH-Bestand","ZH Artwert (1995): Artwertberechnung Areal weltweit","ZH Artwert (1995): Artwertberechnung Gefährdung CH Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung EU Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung ZH Punkte","ZH Artwert (1995): Neophyt"
"8A0D0520-5557-4C93-B823-FF4505944A86",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"8BE6AA69-355D-4772-8435-A1E225052494",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
"8CCF450B-544F-4402-9FB1-DBF024BC8BA8",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"8D63D50C-162A-43DD-9F22-268DAD9BC253",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"8DE408AF-DD01-48D5-81F0-5E7578CAB42D",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"931A6731-1C7E-4422-8920-3868A787F2DD",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"93667080-272D-464E-B1FF-C85B73585107",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"9387FF41-64B7-4825-9182-D1405573C75E",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"95627DBE-FDBB-4BFA-9C71-5634134CCCBD",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"96D56218-5005-462E-9473-DC84A7C9BDAF",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"96FD41BB-C5B7-41DD-9EF7-2F1A781D337B",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"974A5ABE-5D5B-4BCA-96BA-EC7AD0BB9337",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"98A1BFF9-2F9B-44A8-BF70-C7440C2E8707",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"98B08DCA-AE90-4738-874A-275BC9154804",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"98BD5509-97B7-4083-BF36-3D608B226970",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"9A3DC93C-EA85-4E38-A460-93AB17E84A86",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"9B983F99-886F-481A-B308-BC9F082D0945",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"9C31638A-D755-4CB0-9BE3-7CC7D81F82AE",2,"klein: <1/4 (0 Punkte)","mittel (2 Punkte)","","","","true"
"9C72E6DE-01AC-48F1-8254-458ADEBE360B",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"9D04FA86-88CB-4123-8111-E424ABBD5345",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"9E4F24F1-065B-46CC-8E2B-68E4DB980842",5,"klein: <1/4 (0 Punkte)","mittel (2 Punkte)","","","","true"
"9E90D93F-C7C7-4762-9EBC-56C0B8F92B3C",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"A0B4E13B-3977-4269-BEA1-95C0330C08B9",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"A6D003F7-42ED-4BC1-9712-07B2E177D2ED",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"A71BB706-8C31-456B-A2D7-7328DF8CDDB4",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"A71F1027-5ED8-4A77-B491-3683B677B095",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"A8B5779F-D5C0-43D6-B300-2F5A73180A89",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"AA646B48-83ED-4B81-80EB-027A7BDBB9FE",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"AAB03647-8755-4E71-88C2-75305B9C7FB0",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"AD4E5F81-5965-4E63-B10C-51605F1C37FB",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"ADE80E1E-CD87-4421-B1A4-CC0020FD2F81",7,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"B0F424E3-A490-4FE6-A731-015DE20A2457",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"B26D045A-8456-4011-A9D5-0615B21384D1",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"B4A2C37A-A522-4020-B6D4-00215F3162AD",9,"klein: <1/4 (0 Punkte)","mittel (2 Punkte)","","","","true"
"B6F17C6A-A194-4E71-9AA1-D1761573A612","","unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"B742D79F-EF9C-449B-9684-7FF95030A7A2",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"B8A99D74-D0DC-4CC1-819D-92A02B8060FF",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"B934E579-A857-4421-8205-21CF0AF7C9F8",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
