"GUID","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner GUID(s)"
"CA59EC17-60C5-471F-ACFA-F42093EBE12A","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CA59EC17-60C5-471F-ACFA-F42093EBE12A","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"CA59EC17-60C5-471F-ACFA-F42093EBE12A","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"CA59EC17-60C5-471F-ACFA-F42093EBE12A","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"CA5C4558-C734-4789-8E5E-F7121D0D3439","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'6: Äcker','GUID':'50FEE5B6-9651-4AD8-AE60-90BD3B5131A9'}]]","50FEE5B6-9651-4AD8-AE60-90BD3B5131A9"
"CA97554D-02BA-48EB-83BE-8E86C5C5FA0A","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CAA4F451-213E-4BB1-B1D4-74D2242BDC2C","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'6: Äcker','GUID':'50FEE5B6-9651-4AD8-AE60-90BD3B5131A9'}]]","50FEE5B6-9651-4AD8-AE60-90BD3B5131A9"
"CAB7E790-320B-4982-932A-C49A72766927","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CAB7E790-320B-4982-932A-C49A72766927","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"CAB7E790-320B-4982-932A-C49A72766927","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"CAEA68BB-DAE8-4D7D-91F3-FC8EB67210B5","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
